Id,Latitude,Longitude
412,9.0185799,38.8055698
413,9.0201678,38.8005197
414,9.022423,38.8039208
415,9.0215581,38.8097915
416,9.0224495,38.8037103
417,9.0215138,38.8101552
418,9.0226131,38.802986
419,9.0213713,38.8000477
420,9.0223846,38.8039859
421,9.0181359,38.8038278
422,9.0229075,38.8031536
423,9.0206759,38.8012031
424,9.0213157,38.8028701
425,9.0213475,38.8027963
426,9.0210223,38.8020513
427,9.0212826,38.8030303
428,9.0220124,38.8003896
429,9.0187638,38.8064365
430,9.0191079,38.804643
431,9.021331,38.7982142
432,9.0219344,38.7982179
433,9.0204362,38.8039818
434,9.0201051,38.7982363
435,9.0203143,38.8034964
436,9.0209634,38.8054624
437,9.0204653,38.8031732
438,9.0190016,38.805619
439,9.0204283,38.8030927
440,9.0184535,38.8064023
441,9.0203978,38.803373
442,9.0163938,38.7981467
443,9.0163209,38.7981239
